,Album,Artist,CreditedArtist,Credits,ArtistURL
48,"Live in Chicago, IL, November 29, 1995",King Crimson,Tony Levin,"Bass,  Stick",https://www.allmusic.com/artist/tony-levin-mn0000007305
49,"Live in Chicago, IL, November 29, 1995",King Crimson,Pat Mastelotto,"Drums,  Guitar (Acoustic),  Guitar (Electronic),  Percussion",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
50,"Live in Chicago, IL, November 29, 1995",King Crimson,Alex R. Mundy,"Digital Editing,  Producer",https://www.allmusic.com/artist/alex-r-mundy-mn0001683758
51,"Live in Chicago, IL, November 29, 1995",King Crimson,Hugh O'Donnell,Design,https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
52,"Live in Chicago, IL, November 29, 1995",King Crimson,David Singleton,Producer,https://www.allmusic.com/artist/david-singleton-mn0000182110
53,"Live in Chicago, IL, November 29, 1995",King Crimson,Sid Smith,Liner Notes,https://www.allmusic.com/artist/sid-smith-mn0001898454
54,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Adrian Belew,Composer,https://www.allmusic.com/artist/adrian-belew-mn0000498577
55,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Bill Bruford,Composer,https://www.allmusic.com/artist/bill-bruford-mn0000074776
56,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Greg Dean,Live Sound Engineer,https://www.allmusic.com/artist/greg-dean-mn0000701271
57,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Robert Fripp,"Composer,  Guitar",https://www.allmusic.com/artist/robert-fripp-mn0000238440
58,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Trey Gunn,"Composer,  Guitar,  Talking",https://www.allmusic.com/artist/trey-gunn-mn0000022134
59,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
60,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Tony Levin,Composer,https://www.allmusic.com/artist/tony-levin-mn0000007305
61,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Pat Mastelotto,"Composer,  Electronic Drums",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
62,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Alex R. Mundy,"Digital Editing,  Producer",https://www.allmusic.com/artist/alex-r-mundy-mn0001683758
63,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Bill Munyon,Photography,https://www.allmusic.com/artist/bill-munyon-mn0000768178
64,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Hugh O'Donnell,Design,https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
65,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,ProjeKct Three,Arranger,https://www.allmusic.com/artist/projekct-three-mn0001373779
66,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,David Singleton,Producer,https://www.allmusic.com/artist/david-singleton-mn0000182110
67,Welcome to the Blackout [Live London '78],David Bowie,David Bowie,Primary Artist,https://www.allmusic.com/artist/david-bowie-mn0000531986
68,The Elements: 2020 Tour Box,King Crimson,Adrian Belew,Composer,https://www.allmusic.com/artist/adrian-belew-mn0000498577
69,The Elements: 2020 Tour Box,King Crimson,Biff U. Blumfumgagnge,Guitar,https://www.allmusic.com/artist/biff-u-blumfumgagnge-mn0000057056
70,The Elements: 2020 Tour Box,King Crimson,Bill Bruford,Composer,https://www.allmusic.com/artist/bill-bruford-mn0000074776
71,The Elements: 2020 Tour Box,King Crimson,Boz Burrell,Composer,https://www.allmusic.com/artist/boz-burrell-mn0000099073
72,The Elements: 2020 Tour Box,King Crimson,Mel Collins,Group Member,https://www.allmusic.com/artist/mel-collins-mn0000407337
73,The Elements: 2020 Tour Box,King Crimson,David Cross,Composer,https://www.allmusic.com/artist/david-cross-mn0000641067
74,The Elements: 2020 Tour Box,King Crimson,Robert Fripp,"Composer,  Group Member",https://www.allmusic.com/artist/robert-fripp-mn0000238440
75,The Elements: 2020 Tour Box,King Crimson,Michael Giles,Composer,https://www.allmusic.com/artist/michael-giles-mn0000465386
76,The Elements: 2020 Tour Box,King Crimson,Trey Gunn,Composer,https://www.allmusic.com/artist/trey-gunn-mn0000022134
77,The Elements: 2020 Tour Box,King Crimson,Gavin Harrison,"Composer,  Group Member",https://www.allmusic.com/artist/gavin-harrison-mn0000191711
78,The Elements: 2020 Tour Box,King Crimson,Jakko M. Jakszyk,"Composer,  Group Member",https://www.allmusic.com/artist/jakko-m-jakszyk-mn0000135230
79,The Elements: 2020 Tour Box,King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
80,The Elements: 2020 Tour Box,King Crimson,Greg Lake,Composer,https://www.allmusic.com/artist/greg-lake-mn0000186477
81,The Elements: 2020 Tour Box,King Crimson,Tony Levin,"Composer,  Group Member",https://www.allmusic.com/artist/tony-levin-mn0000007305
82,The Elements: 2020 Tour Box,King Crimson,Pat Mastelotto,Group Member,https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
83,The Elements: 2020 Tour Box,King Crimson,Ian McDonald,Composer,https://www.allmusic.com/artist/ian-mcdonald-mn0000769171
84,The Elements: 2020 Tour Box,King Crimson,Hugh O'Donnell,"Design,  Layout",https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
85,The Elements: 2020 Tour Box,King Crimson,Richard Palmer-James,Composer,https://www.allmusic.com/artist/richard-palmer-james-mn0000354117
86,The Elements: 2020 Tour Box,King Crimson,Michele Russotto,"Drums,  Guitar (Bass)",https://www.allmusic.com/artist/michele-russotto-mn0001855425
87,The Elements: 2020 Tour Box,King Crimson,Dave Salt,Production Manager,https://www.allmusic.com/artist/dave-salt-mn0003000459
88,The Elements: 2020 Tour Box,King Crimson,Peter Sinfield,Composer,https://www.allmusic.com/artist/peter-sinfield-mn0000321322
89,The Elements: 2020 Tour Box,King Crimson,Sid Smith,Sleeve Notes,https://www.allmusic.com/artist/sid-smith-mn0001898454
90,The Elements: 2020 Tour Box,King Crimson,Jeremy Stacey,Group Member,https://www.allmusic.com/artist/jeremy-stacey-mn0000272980
91,The Elements: 2020 Tour Box,King Crimson,Paul Stratford,"Brass,  Keyboards",https://www.allmusic.com/artist/paul-stratford-mn0004047529
92,The Elements: 2020 Tour Box,King Crimson,David Taylor,Audio Technician,https://www.allmusic.com/artist/david-taylor-mn0002595027
93,The Elements: 2020 Tour Box,King Crimson,Ian Wallace,Composer,https://www.allmusic.com/artist/ian-wallace-mn0000679485
94,The Elements: 2020 Tour Box,King Crimson,John Wetton,Composer,https://www.allmusic.com/artist/john-wetton-mn0000231213
95,The Elements: 2020 Tour Box,King Crimson,Russ Wilson,Engineer,https://www.allmusic.com/artist/russ-wilson-mn0001310653
96,"Live in New Haven, CT, November 16, 2003",King Crimson,Adrian Belew,"Composer,  Guitar,  Vocals",https://www.allmusic.com/artist/adrian-belew-mn0000498577
97,"Live in New Haven, CT, November 16, 2003",King Crimson,Greg Dean,Live Sound Engineer,https://www.allmusic.com/artist/greg-dean-mn0000701271
98,"Live in New Haven, CT, November 16, 2003",King Crimson,Robert Fripp,"Composer,  Guitar",https://www.allmusic.com/artist/robert-fripp-mn0000238440
99,"Live in New Haven, CT, November 16, 2003",King Crimson,Trey Gunn,Warr Guitar,https://www.allmusic.com/artist/trey-gunn-mn0000022134
100,"Live in New Haven, CT, November 16, 2003",King Crimson,King Crimson,"Composer,  Primary Artist",https://www.allmusic.com/artist/king-crimson-mn0000076057
101,"Live in New Haven, CT, November 16, 2003",King Crimson,Pat Mastelotto,"Electronic Drums,  Guitar (Acoustic)",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
102,"Live in New Haven, CT, November 16, 2003",King Crimson,Alex R. Mundy,"Digital Editing,  Producer",https://www.allmusic.com/artist/alex-r-mundy-mn0001683758
103,"Live in New Haven, CT, November 16, 2003",King Crimson,Bill Munyon,Photography,https://www.allmusic.com/artist/bill-munyon-mn0000768178
104,"Live in New Haven, CT, November 16, 2003",King Crimson,Hugh O'Donnell,Design,https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
105,"Live in New Haven, CT, November 16, 2003",King Crimson,David Singleton,Producer,https://www.allmusic.com/artist/david-singleton-mn0000182110
106,"Live in Chicago, IL, November 29, 1995",King Crimson,Adrian Belew,"Composer,  Guitar,  Vocals",https://www.allmusic.com/artist/adrian-belew-mn0000498577
107,"Live in Chicago, IL, November 29, 1995",King Crimson,Bill Bruford,"Drums,  Guitar (Acoustic),  Guitar (Electronic),  Percussion",https://www.allmusic.com/artist/bill-bruford-mn0000074776
108,"Live in Chicago, IL, November 29, 1995",King Crimson,Henry Diltz,Photography,https://www.allmusic.com/artist/henry-diltz-mn0000674993
109,"Live in Chicago, IL, November 29, 1995",King Crimson,Pierre Favre,Composer,https://www.allmusic.com/artist/pierre-favre-mn0000338722
110,"Live in Chicago, IL, November 29, 1995",King Crimson,Robert Fripp,"Guitar,  Soundscape",https://www.allmusic.com/artist/robert-fripp-mn0000238440
111,"Live in Chicago, IL, November 29, 1995",King Crimson,George Glossop,Engineer,https://www.allmusic.com/artist/george-glossop-mn0000648025
112,"Live in Chicago, IL, November 29, 1995",King Crimson,Trey Gunn,Guitar,https://www.allmusic.com/artist/trey-gunn-mn0000022134
113,"Live in Chicago, IL, November 29, 1995",King Crimson,Steve Jennings,Photography,https://www.allmusic.com/artist/steve-jennings-mn0001321382
114,"Live in Chicago, IL, November 29, 1995",King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
115,"Live in Chicago, IL, November 29, 1995",King Crimson,John Lennon,Composer,https://www.allmusic.com/artist/john-lennon-mn0000232564
116,"Live in Chicago, IL, November 29, 1995",King Crimson,Tony Levin,"Bass,  Stick",https://www.allmusic.com/artist/tony-levin-mn0000007305
117,"Live in Chicago, IL, November 29, 1995",King Crimson,Pat Mastelotto,"Drums,  Guitar (Acoustic),  Guitar (Electronic),  Percussion",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
118,"Live in Chicago, IL, November 29, 1995",King Crimson,Alex R. Mundy,"Digital Editing,  Producer",https://www.allmusic.com/artist/alex-r-mundy-mn0001683758
119,"Live in Chicago, IL, November 29, 1995",King Crimson,Hugh O'Donnell,Design,https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
120,"Live in Chicago, IL, November 29, 1995",King Crimson,David Singleton,Producer,https://www.allmusic.com/artist/david-singleton-mn0000182110
121,"Live in Chicago, IL, November 29, 1995",King Crimson,Sid Smith,Liner Notes,https://www.allmusic.com/artist/sid-smith-mn0001898454
122,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Adrian Belew,Composer,https://www.allmusic.com/artist/adrian-belew-mn0000498577
123,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Bill Bruford,Composer,https://www.allmusic.com/artist/bill-bruford-mn0000074776
124,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Greg Dean,Live Sound Engineer,https://www.allmusic.com/artist/greg-dean-mn0000701271
125,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Robert Fripp,"Composer,  Guitar",https://www.allmusic.com/artist/robert-fripp-mn0000238440
126,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Trey Gunn,"Composer,  Guitar,  Talking",https://www.allmusic.com/artist/trey-gunn-mn0000022134
127,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
128,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Tony Levin,Composer,https://www.allmusic.com/artist/tony-levin-mn0000007305
129,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Pat Mastelotto,"Composer,  Electronic Drums",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
130,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Alex R. Mundy,"Digital Editing,  Producer",https://www.allmusic.com/artist/alex-r-mundy-mn0001683758
131,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Bill Munyon,Photography,https://www.allmusic.com/artist/bill-munyon-mn0000768178
132,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,Hugh O'Donnell,Design,https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
133,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,ProjeKct Three,Arranger,https://www.allmusic.com/artist/projekct-three-mn0001373779
134,"Projekct Three [Live in Alexandria, Va March 3, 2003]",King Crimson,David Singleton,Producer,https://www.allmusic.com/artist/david-singleton-mn0000182110
135,Welcome to the Blackout [Live London '78],David Bowie,David Bowie,Primary Artist,https://www.allmusic.com/artist/david-bowie-mn0000531986
136,Mr. Music Head/Inner Revolution,Adrian Belew,Adrian Belew,Primary Artist,https://www.allmusic.com/artist/adrian-belew-mn0000498577
137,"Live in Vienna, December 1st, 2016",King Crimson,John Armitage,Guitar,https://www.allmusic.com/artist/john-armitage-mn0002025027
138,"Live in Vienna, December 1st, 2016",King Crimson,Adrian Belew,Composer,https://www.allmusic.com/artist/adrian-belew-mn0000498577
139,"Live in Vienna, December 1st, 2016",King Crimson,Jason Birnie,Stage Manager,https://www.allmusic.com/artist/jason-birnie-mn0003324183
140,"Live in Vienna, December 1st, 2016",King Crimson,Biff U. Blumfumgagnge,Brass,https://www.allmusic.com/artist/biff-u-blumfumgagnge-mn0000057056
141,"Live in Vienna, December 1st, 2016",King Crimson,David Bowie,Composer,https://www.allmusic.com/artist/david-bowie-mn0000531986
142,"Live in Vienna, December 1st, 2016",King Crimson,Bill Bruford,Composer,https://www.allmusic.com/artist/bill-bruford-mn0000074776
143,"Live in Vienna, December 1st, 2016",King Crimson,Mel Collins,"Composer,  Flute,  Saxophone",https://www.allmusic.com/artist/mel-collins-mn0000407337
144,"Live in Vienna, December 1st, 2016",King Crimson,David Cross,Composer,https://www.allmusic.com/artist/david-cross-mn0000641067
145,"Live in Vienna, December 1st, 2016",King Crimson,Natasha de Sampayo,Production Assistant,https://www.allmusic.com/artist/natasha-de-sampayo-mn0001631676
146,"Live in Vienna, December 1st, 2016",King Crimson,Brian Eno,Composer,https://www.allmusic.com/artist/brian-eno-mn0000617196
147,"Live in Vienna, December 1st, 2016",King Crimson,Robert Fripp,"Composer,  Guitar,  Keyboards,  Mixing,  Producer",https://www.allmusic.com/artist/robert-fripp-mn0000238440
148,"Live in Vienna, December 1st, 2016",King Crimson,Michael Giles,Composer,https://www.allmusic.com/artist/michael-giles-mn0000465386
149,"Live in Vienna, December 1st, 2016",King Crimson,Trey Gunn,Composer,https://www.allmusic.com/artist/trey-gunn-mn0000022134
150,"Live in Vienna, December 1st, 2016",King Crimson,Gavin Harrison,"Composer,  Drums",https://www.allmusic.com/artist/gavin-harrison-mn0000191711
151,"Live in Vienna, December 1st, 2016",King Crimson,Adrian Holmes,Merchandising,https://www.allmusic.com/artist/adrian-holmes-mn0003182784
152,"Live in Vienna, December 1st, 2016",King Crimson,Jakko M. Jakszyk,"Composer,  Guitar,  Voices",https://www.allmusic.com/artist/jakko-m-jakszyk-mn0000135230
153,"Live in Vienna, December 1st, 2016",King Crimson,Alan Jones,Photography,https://www.allmusic.com/artist/alan-jones-mn0002662276
154,"Live in Vienna, December 1st, 2016",King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
155,"Live in Vienna, December 1st, 2016",King Crimson,Greg Lake,Composer,https://www.allmusic.com/artist/greg-lake-mn0000186477
156,"Live in Vienna, December 1st, 2016",King Crimson,Tony Levin,"Bass,  Chapman Stick,  Composer,  Photography",https://www.allmusic.com/artist/tony-levin-mn0000007305
157,"Live in Vienna, December 1st, 2016",King Crimson,Pat Mastelotto,"Composer,  Drums",https://www.allmusic.com/artist/pat-mastelotto-mn0000136202
158,"Live in Vienna, December 1st, 2016",King Crimson,Ian McDonald,Composer,https://www.allmusic.com/artist/ian-mcdonald-mn0000769171
159,"Live in Vienna, December 1st, 2016",King Crimson,Hugh O'Donnell,"Design,  Layout",https://www.allmusic.com/artist/hugh-odonnell-mn0001912581
160,"Live in Vienna, December 1st, 2016",King Crimson,Richard Palmer-James,Composer,https://www.allmusic.com/artist/richard-palmer-james-mn0000354117
161,"Live in Vienna, December 1st, 2016",King Crimson,Chris Porter,"Engineer,  Mixing,  Mixing Engineer",https://www.allmusic.com/artist/chris-porter-mn0003447534
162,"Live in Vienna, December 1st, 2016",King Crimson,Bill Rieflin,Composer,https://www.allmusic.com/artist/bill-rieflin-mn0000075781
163,"Live in Vienna, December 1st, 2016",King Crimson,Michele Russotto,"Drums,  Guitar (Bass)",https://www.allmusic.com/artist/michele-russotto-mn0001855425
164,"Live in Vienna, December 1st, 2016",King Crimson,Dave Salt,"Cover Photo,  Production Manager,  Tour Manager",https://www.allmusic.com/artist/dave-salt-mn0003000459
165,"Live in Vienna, December 1st, 2016",King Crimson,Peter Sinfield,Composer,https://www.allmusic.com/artist/peter-sinfield-mn0000321322
166,"Live in Vienna, December 1st, 2016",King Crimson,Ben Singleton,Logo,https://www.allmusic.com/artist/ben-singleton-mn0000137752
167,"Live in Vienna, December 1st, 2016",King Crimson,David Singleton,"Composer,  Mixing,  Producer,  Sleeve Photo",https://www.allmusic.com/artist/david-singleton-mn0000182110
168,"Live in Vienna, December 1st, 2016",King Crimson,Jeremy Stacey,"Composer,  Drums,  Keyboards",https://www.allmusic.com/artist/jeremy-stacey-mn0000272980
169,"Live in Vienna, December 1st, 2016",King Crimson,David Taylor,Audio Technician,https://www.allmusic.com/artist/david-taylor-mn0002595027
170,"Live in Vienna, December 1st, 2016",King Crimson,Mark Vreeken,Sound Design,https://www.allmusic.com/artist/mark-vreeken-mn0000332713
171,"Live in Vienna, December 1st, 2016",King Crimson,John Wetton,Composer,https://www.allmusic.com/artist/john-wetton-mn0000231213
172,"Live in Vienna, December 1st, 2016",King Crimson,Russ Wilson,Monitors,https://www.allmusic.com/artist/russ-wilson-mn0001310653
173,The  Elements: 2017 Tour Box,King Crimson,Renee Adams,Production Assistant,https://www.allmusic.com/artist/renee-adams-mn0001613740
174,The  Elements: 2017 Tour Box,King Crimson,John Armitage,Guitar,https://www.allmusic.com/artist/john-armitage-mn0002025027
175,The  Elements: 2017 Tour Box,King Crimson,Adrian Belew,"Composer,  Guitar,  Vocals",https://www.allmusic.com/artist/adrian-belew-mn0000498577
176,The  Elements: 2017 Tour Box,King Crimson,Biff U. Blumfumgagnge,"Brass,  Keyboards,  Lighting",https://www.allmusic.com/artist/biff-u-blumfumgagnge-mn0000057056
177,The  Elements: 2017 Tour Box,King Crimson,Bill Bruford,"Composer,  Drums",https://www.allmusic.com/artist/bill-bruford-mn0000074776
178,The  Elements: 2017 Tour Box,King Crimson,Boz Burrell,Bass,https://www.allmusic.com/artist/boz-burrell-mn0000099073
179,The  Elements: 2017 Tour Box,King Crimson,Marc Charig,Cornet,https://www.allmusic.com/artist/marc-charig-mn0000056983
180,The  Elements: 2017 Tour Box,King Crimson,Mel Collins,"Flute,  Saxophone",https://www.allmusic.com/artist/mel-collins-mn0000407337
181,The  Elements: 2017 Tour Box,King Crimson,David Cross,"Composer,  Violin",https://www.allmusic.com/artist/david-cross-mn0000641067
182,The  Elements: 2017 Tour Box,King Crimson,Natasha de Sampayo,Production Assistant,https://www.allmusic.com/artist/natasha-de-sampayo-mn0001631676
183,The  Elements: 2017 Tour Box,King Crimson,Robert Fripp,"Composer,  Guitar,  Keyboards,  Mellotron",https://www.allmusic.com/artist/robert-fripp-mn0000238440
184,The  Elements: 2017 Tour Box,King Crimson,Michael Giles,"Composer,  Drums",https://www.allmusic.com/artist/michael-giles-mn0000465386
185,The  Elements: 2017 Tour Box,King Crimson,Peter Giles,"Bass,  Guitar (Bass)",https://www.allmusic.com/artist/peter-giles-mn0000659952
186,The  Elements: 2017 Tour Box,King Crimson,Trey Gunn,"Composer,  Guitar,  Stick",https://www.allmusic.com/artist/trey-gunn-mn0000022134
187,The  Elements: 2017 Tour Box,King Crimson,Gavin Harrison,"Composer,  Drums",https://www.allmusic.com/artist/gavin-harrison-mn0000191711
188,The  Elements: 2017 Tour Box,King Crimson,Gordon Haskell,Vocals,https://www.allmusic.com/artist/gordon-haskell-mn0000556795
189,The  Elements: 2017 Tour Box,King Crimson,Adrian Holmes,Merchandising,https://www.allmusic.com/artist/adrian-holmes-mn0003182784
190,The  Elements: 2017 Tour Box,King Crimson,Jakko M. Jakszyk,"Composer,  Guitar,  Vocals",https://www.allmusic.com/artist/jakko-m-jakszyk-mn0000135230
191,The  Elements: 2017 Tour Box,King Crimson,King Crimson,Primary Artist,https://www.allmusic.com/artist/king-crimson-mn0000076057
192,The  Elements: 2017 Tour Box,King Crimson,Greg Lake,"Composer,  Vocals",https://www.allmusic.com/artist/greg-lake-mn0000186477
